codigo_ponto;topo_m;base_m;captacao;condicao;penetracao;data;nivel_da_agua_m;vazao_m3_h;aquifero_no_ponto__aquifero;data__nivel_da_agua_m;data__vazao_m3_h;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;topo_m_0_base_m_100_captacao_condicao_penetracao;aquifero;condicao__penetracao;topo_m_0_base_m_72_captacao_condicao_penetracao;topo_m_0_base_m_70_captacao_condicao_penetracao;topo_m_0_base_m_78_captacao_condicao_penetracao;topo_m_0_base_m_62_5_captacao_condicao_penetracao;topo_m_0_base_m_60_captacao_condicao_penetracao;topo_m_0_base_m_80_captacao_condicao_penetracao;topo_m_0_base_m_90_captacao_condicao_penetracao;topo_m_0_base_m_120_captacao_condicao_penetracao;topo_m_0_base_m_66_captacao_condicao_penetracao;topo_m_0_base_m_61_captacao_condicao_penetracao;topo_m_0_base_m_80_captacao_condicao_livre_penetracao;captacao__condicao;topo_m_0_base_m_114_captacao_condicao_penetracao;topo_m_0_base_m_96_captacao_condicao_penetracao;topo_m_0_base_m_150_captacao_condicao_penetracao;topo_m_0_base_m_126_captacao_condicao_penetracao;topo_m_0_base_m_138_captacao_condicao_penetracao;topo_m_0_base_m_105_captacao_condicao_penetracao;topo_m_0_base_m_54_captacao_condicao_penetracao;topo_m_10_base_m_70_captacao_condicao_penetracao;topo_m_0_base_m_110_captacao_condicao_penetracao;topo_m_0_base_m_48_captacao_condicao_penetracao;topo_m_0_base_m_115_captacao_condicao_penetracao;topo_m_0_base_m_67_captacao_condicao_penetracao;topo_m_0_base_m_108_captacao_condicao_penetracao;topo_m_0_base_m_68_captacao_condicao_penetracao;topo_m_0_base_m_102_captacao_condicao_penetracao;topo_m_0_base_m_84_captacao_condicao_penetracao;topo_m_0_base_m_130_captacao_condicao_penetracao;topo_m_30_base_m_90_captacao_condicao_penetracao;topo_m_0_base_m_86_captacao_condicao_penetracao;topo_m_0_base_m_156_captacao_condicao_penetracao;topo_m_0_base_m_107_captacao_condicao_penetracao;topo_m_0_base_m_140_captacao_condicao_penetracao;topo_m_0_base_m_57_captacao_condicao_penetracao;topo_m_10_base_m_72_captacao_condicao_penetracao;topo_m_53_3_base_m_132_captacao_condicao_penetracao
2900006030;0;100;Ãnica;Livre;Parcial;;0;0;Fissural | Topo (m): 0 Base (m): 100 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 0 | Base (m): | 100 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006030;data/raw/html_pocos/2900006030.html;;;2026-04-10T17:30:44.090296+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900006031;45;90;SimultÃ¢nea;Confinado;Parcial;;0;0;Fissural | Topo (m): 45 Base (m): 90 Captação: SimultÃ¢nea Condição: Confinado Penetração: Parcial | Topo (m): | 45 | Base (m): | 90 | Captação: | SimultÃ¢nea | Condição: | Confinado | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006031;data/raw/html_pocos/2900006031.html;;;2026-04-10T17:30:44.491242+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900006032;2;50;Ãnica;Livre;Parcial;;0;0;Poroso | Topo (m): 2 Base (m): 50 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 2 | Base (m): | 50 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006032;data/raw/html_pocos/2900006032.html;;;2026-04-10T17:30:44.890375+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900006033;41;120;SimultÃ¢nea;Confinado;Parcial;;0;0;Fissural | Topo (m): 41 Base (m): 120 Captação: SimultÃ¢nea Condição: Confinado Penetração: Parcial | Topo (m): | 41 | Base (m): | 120 | Captação: | SimultÃ¢nea | Condição: | Confinado | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006033;data/raw/html_pocos/2900006033.html;;;2026-04-10T17:30:45.324165+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900006881;0;0;;;;;0;0;| Topo (m): 0 Base (m): 0 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 0 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006881;data/raw/html_pocos/2900006881.html;;;2026-04-10T17:30:45.717279+00:00;;Topo (m): 0 Base (m): 0 Captação: Condição: Penetração:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900007148;1;50;Ãnica;Livre;Parcial;;0;0;Poroso | Topo (m): 1 Base (m): 50 Captação: Ãnica Condição: Livre Penetração: Parcial | Topo (m): | 1 | Base (m): | 50 | Captação: | Ãnica | Condição: | Livre | Penetração: | Parcial;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900007148;data/raw/html_pocos/2900007148.html;;;2026-04-10T17:30:46.110601+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900017252;0;0;;;;;0;0;| Topo (m): 0 Base (m): 0 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 0 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900017252;data/raw/html_pocos/2900017252.html;;;2026-04-10T17:30:46.515049+00:00;;Topo (m): 0 Base (m): 0 Captação: Condição: Penetração:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900017253;0;0;;;;;0;0;| Topo (m): 0 Base (m): 0 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 0 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900017253;data/raw/html_pocos/2900017253.html;;;2026-04-10T17:30:46.910926+00:00;;Topo (m): 0 Base (m): 0 Captação: Condição: Penetração:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900022355;0;80;;;;;0;0;Fissural | Topo (m): 0 Base (m): 80 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 80 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022355;data/raw/html_pocos/2900022355.html;;;2026-04-10T17:30:47.307363+00:00;;;;;;;;;Topo (m):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900023660;0;120;;;;;0;0;Fissural | Topo (m): 0 Base (m): 120 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 120 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900023660;data/raw/html_pocos/2900023660.html;;;2026-04-10T17:30:47.712654+00:00;;;;;;;;;;;Topo (m):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900024174;0;120;;;;;0;0;Fissural | Topo (m): 0 Base (m): 120 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 120 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024174;data/raw/html_pocos/2900024174.html;;;2026-04-10T17:30:48.113830+00:00;;;;;;;;;;;Topo (m):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2900024306;0;156;;;;;0;0;Fissural | Topo (m): 0 Base (m): 156 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 156 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024306;data/raw/html_pocos/2900024306.html;;;2026-04-10T17:30:48.515630+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Topo (m):;;;;;
2900024308;0;156;;;;;0;0;Fissural | Topo (m): 0 Base (m): 156 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 156 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024308;data/raw/html_pocos/2900024308.html;;;2026-04-10T17:30:48.914929+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Topo (m):;;;;;
2900024596;0;130;;;;;0;0;Fissural | Topo (m): 0 Base (m): 130 Captação: Condição: Penetração: | Topo (m): | 0 | Base (m): | 130 | Captação: | Condição: | Penetração:;0;0;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024596;data/raw/html_pocos/2900024596.html;;;2026-04-10T17:30:49.312996+00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Topo (m):;;;;;;;;
