codigo_ponto;perfuracao__data;perfuracao__profundidade_final_m;perfuracao__metodo;boca_do_tubo__data;boca_do_tubo__diametro_pol;profundidade_util__data;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc
2900005897;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005897;data/raw/html_pocos/2900005897.html;;;2026-04-10T17:30:35.674988+00:00
2900005897;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005897;data/raw/html_pocos/2900005897.html;;;2026-04-10T17:30:35.674988+00:00
2900005898;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005898;data/raw/html_pocos/2900005898.html;;;2026-04-10T17:30:36.074764+00:00
2900005898;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005898;data/raw/html_pocos/2900005898.html;;;2026-04-10T17:30:36.074764+00:00
2900005899;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005899;data/raw/html_pocos/2900005899.html;;;2026-04-10T17:30:36.473040+00:00
2900005899;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005899;data/raw/html_pocos/2900005899.html;;;2026-04-10T17:30:36.473040+00:00
2900005900;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005900;data/raw/html_pocos/2900005900.html;;;2026-04-10T17:30:36.910235+00:00
2900005900;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005900;data/raw/html_pocos/2900005900.html;;;2026-04-10T17:30:36.910235+00:00
2900005901;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005901;data/raw/html_pocos/2900005901.html;;;2026-04-10T17:30:37.306389+00:00
2900005901;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005901;data/raw/html_pocos/2900005901.html;;;2026-04-10T17:30:37.306389+00:00
2900005902;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005902;data/raw/html_pocos/2900005902.html;;;2026-04-10T17:30:37.703988+00:00
2900005902;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005902;data/raw/html_pocos/2900005902.html;;;2026-04-10T17:30:37.703988+00:00
2900005903;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005903;data/raw/html_pocos/2900005903.html;;;2026-04-10T17:30:38.103459+00:00
2900005903;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005903;data/raw/html_pocos/2900005903.html;;;2026-04-10T17:30:38.103459+00:00
