codigo_ponto;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;analises_quimicas__amostra;analises_quimicas__data_da_coleta;analises_quimicas__condutividade_eletrica_s_cm;analises_quimicas__qualidade_da_agua_pt_co;analises_quimicas__sabor_da_agua;analises_quimicas__qualidade_da_agua_odor;analises_quimicas__temperatura_co;analises_quimicas__turbides_ntu;analises_quimicas__solidos_suspensos_mg_l;analises_quimicas__solidos_sedimentaveis_mg_l;analises_quimicas__aspecto_natural;analises_quimicas__parametro;analises_quimicas__unidade
2900024323;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024323;data/raw/html_pocos/2900024323.html;;;2026-04-10T17:28:32.617100+00:00;;;;;;;;;;;;;
2900024323;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024323;data/raw/html_pocos/2900024323.html;;;2026-04-10T17:28:32.617100+00:00;;;;;;;;;;;;;
2900024324;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024324;data/raw/html_pocos/2900024324.html;;;2026-04-10T17:28:33.019105+00:00;CERB 1-9479/10;11/06/2010;327;8;;;;;;;;;
2900024324;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024324;data/raw/html_pocos/2900024324.html;;;2026-04-10T17:28:33.019105+00:00;CERB 1-9479/10;11/06/2010;327;8;;;;;;;;;
2900024325;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024325;data/raw/html_pocos/2900024325.html;;;2026-04-10T17:28:33.421454+00:00;CERB 1-9485/10;14/06/2010;79.6;12;;;;;;;;;
2900024325;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024325;data/raw/html_pocos/2900024325.html;;;2026-04-10T17:28:33.421454+00:00;CERB 1-9485/10;14/06/2010;79.6;12;;;;;;;;;
2900024326;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024326;data/raw/html_pocos/2900024326.html;;;2026-04-10T17:28:33.822775+00:00;CERB 1-9475/10;10/06/2010;1989;0;;;;;;;;;
2900024326;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024326;data/raw/html_pocos/2900024326.html;;;2026-04-10T17:28:33.822775+00:00;CERB 1-9475/10;10/06/2010;1989;0;;;;;;;;;
2900024331;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024331;data/raw/html_pocos/2900024331.html;;;2026-04-10T17:28:34.222866+00:00;CERB 1-9494/10;15/06/2010;254;64;;;;;;;;;
2900024331;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900024331;data/raw/html_pocos/2900024331.html;;;2026-04-10T17:28:34.222866+00:00;CERB 1-9494/10;15/06/2010;254;64;;;;;;;;;
2900026335;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026335;data/raw/html_pocos/2900026335.html;;;2026-04-10T17:28:34.626795+00:00;CERB 1-9956/12;02/05/2012;2930;0;SALOBRA;INODORA;0;0,57;0;0;Cristalina;Concentração:;
2900026335;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900026335;data/raw/html_pocos/2900026335.html;;;2026-04-10T17:28:34.626795+00:00;CERB 1-9956/12;02/05/2012;2930;0;SALOBRA;INODORA;0;0,57;0;0;Cristalina;;
2900027067;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027067;data/raw/html_pocos/2900027067.html;;;2026-04-10T17:28:35.025781+00:00;CERB 1-10127/12;07/09/2012;2030;135;SALOBRA;INODORA;0;15,3;0;0;Cristalina;Concentração:;
2900027067;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027067;data/raw/html_pocos/2900027067.html;;;2026-04-10T17:28:35.025781+00:00;CERB 1-10127/12;07/09/2012;2030;135;SALOBRA;INODORA;0;15,3;0;0;Cristalina;;
2900027068;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027068;data/raw/html_pocos/2900027068.html;;;2026-04-10T17:28:35.427682+00:00;;;;;;;;;;;;;
2900027068;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027068;data/raw/html_pocos/2900027068.html;;;2026-04-10T17:28:35.427682+00:00;;;;;;;;;;;;;
2900027069;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027069;data/raw/html_pocos/2900027069.html;;;2026-04-10T17:28:35.826407+00:00;CERB 1-10133/12;17/09/2012;742;244;NATURAL;INODORA;0;18,8;0;0;Cristalina;Concentração:;
2900027069;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027069;data/raw/html_pocos/2900027069.html;;;2026-04-10T17:28:35.826407+00:00;CERB 1-10133/12;17/09/2012;742;244;NATURAL;INODORA;0;18,8;0;0;Cristalina;;
2900027070;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027070;data/raw/html_pocos/2900027070.html;;;2026-04-10T17:28:36.223634+00:00;CERB 2-4045/12;12/11/2012;1128;27;NATURAL;INODORA;0;2,67;0;0;Cristalina;Concentração:;
2900027070;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027070;data/raw/html_pocos/2900027070.html;;;2026-04-10T17:28:36.223634+00:00;CERB 2-4045/12;12/11/2012;1128;27;NATURAL;INODORA;0;2,67;0;0;Cristalina;;
2900027071;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027071;data/raw/html_pocos/2900027071.html;;;2026-04-10T17:28:36.616817+00:00;CERB 2-4035/12;12/11/2012;304;710;NATURAL;INODORA;0;78,2;0;0;Cristalina;Concentração:;
2900027071;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027071;data/raw/html_pocos/2900027071.html;;;2026-04-10T17:28:36.616817+00:00;CERB 2-4035/12;12/11/2012;304;710;NATURAL;INODORA;0;78,2;0;0;Cristalina;;
